date,fim,open,close,volume,high,low
2020-10-01 00:28:59,2020-10-01 00:33:59,1.36278,1.36278,8.0,1.36278,1.36278
2020-10-01 00:43:59,2020-10-01 00:48:59,1.36361,1.36361,49.0,1.36361,1.36361
2020-10-01 00:53:59,2020-10-01 00:58:59,1.36844,1.3575,4260.36403794,1.36844,1.3575
2020-10-01 01:03:59,2020-10-01 01:08:59,1.36,1.36,2.0,1.36,1.36
2020-10-01 01:08:59,2020-10-01 01:13:59,1.36,1.36,1.0,1.36,1.36
2020-10-01 01:23:59,2020-10-01 01:28:59,1.3571,1.3571,4.61311717,1.3571,1.3571
2020-10-01 01:28:59,2020-10-01 01:33:59,1.3562,1.358,2362.07467132,1.358,1.354
2020-10-01 01:48:59,2020-10-01 01:53:59,1.35782,1.358,36.82275405,1.358,1.35782
2020-10-01 01:53:59,2020-10-01 01:58:59,1.358,1.358,89.58762886,1.358,1.358
2020-10-01 02:08:59,2020-10-01 02:13:59,1.354,1.354,42.5,1.354,1.354
2020-10-01 02:28:59,2020-10-01 02:33:59,1.358,1.358,220.91310751,1.358,1.358
2020-10-01 02:53:59,2020-10-01 02:58:59,1.354,1.354,120.040975,1.354,1.354
2020-10-01 03:08:59,2020-10-01 03:13:59,1.358,1.358,7.36377025,1.358,1.358
2020-10-01 03:23:59,2020-10-01 03:28:59,1.358,1.358,55.22827687,1.358,1.358
2020-10-01 03:28:59,2020-10-01 03:33:59,1.354,1.354,99.84167894000001,1.354,1.354
2020-10-01 06:08:59,2020-10-01 06:13:59,1.358,1.358,11.04565537,1.358,1.358
2020-10-01 06:18:59,2020-10-01 06:23:59,1.358,1.358,88.365243,1.358,1.358
2020-10-01 06:28:59,2020-10-01 06:33:59,1.358,1.358,83.14918,1.358,1.358
2020-10-01 06:33:59,2020-10-01 06:38:59,1.356,1.356,34.979084,1.356,1.356
2020-10-01 06:58:59,2020-10-01 07:03:59,1.3555,1.3555,39.11307693,1.3555,1.3555
2020-10-01 07:03:59,2020-10-01 07:08:59,1.3557,1.3557,137.60613349,1.358,1.3557
2020-10-01 07:18:59,2020-10-01 07:23:59,1.358,1.358,161.16744901,1.358,1.358
2020-10-01 07:23:59,2020-10-01 07:28:59,1.356,1.358,155.251405,1.358,1.356
2020-10-01 07:28:59,2020-10-01 07:33:59,1.358,1.358,51.54639175,1.358,1.358
2020-10-01 07:38:59,2020-10-01 07:43:59,1.358,1.358,940.36082474,1.358,1.358
2020-10-01 07:48:59,2020-10-01 07:53:59,1.358,1.3556,2547.23122238,1.358,1.3556
2020-10-01 07:53:59,2020-10-01 07:58:59,1.358,1.358,450.66273931,1.358,1.358
2020-10-01 07:58:59,2020-10-01 08:03:59,1.358,1.358,81.00147275,1.358,1.358
2020-10-01 08:03:59,2020-10-01 08:08:59,1.3556,1.3556,99.1,1.3556,1.3556
2020-10-01 08:18:59,2020-10-01 08:23:59,1.358,1.3557,1145.8026505500002,1.358,1.3557
2020-10-01 08:23:59,2020-10-01 08:28:59,1.3557,1.358,168.65575045,1.358,1.3557
2020-10-01 08:28:59,2020-10-01 08:33:59,1.3557,1.3557,378.75,1.3557,1.3557
2020-10-01 08:33:59,2020-10-01 08:38:59,1.358,1.358,305.19064338,1.358,1.358
2020-10-01 08:38:59,2020-10-01 08:43:59,1.3558,1.3558,409.94438037,1.3558,1.3558
2020-10-01 08:43:59,2020-10-01 08:48:59,1.358,1.358,463.57142856,1.358,1.358
2020-10-01 08:48:59,2020-10-01 08:53:59,1.358,1.358,2945.50810014,1.358,1.358
2020-10-01 08:58:59,2020-10-01 09:03:59,1.3579,1.358,2465.7446372799996,1.358,1.3559
2020-10-01 09:03:59,2020-10-01 09:08:59,1.358,1.358,477.82768777,1.358,1.358
2020-10-01 09:08:59,2020-10-01 09:13:59,1.358,1.358,708.74079528,1.358,1.358
2020-10-01 09:13:59,2020-10-01 09:18:59,1.356,1.356,49.63569004,1.356,1.356
2020-10-01 09:18:59,2020-10-01 09:23:59,1.358,1.358,186.00610456,1.358,1.358
2020-10-01 09:23:59,2020-10-01 09:28:59,1.358,1.358,10325.40393959,1.358,1.358
2020-10-01 09:28:59,2020-10-01 09:33:59,1.356,1.356,36.77995733,1.356,1.356
2020-10-01 09:38:59,2020-10-01 09:43:59,1.35611,1.35611,116.44386297,1.35611,1.35611
